Holiday,Temperature,Rainfall_last_hour,Snowfall_last_hour,Cloud_Cover,Weather_Desc,Date,Traffic_Vol,Weather_Encoded,Weather_Desc_Encoded,TimeStamp_Hour,TimeStamp_Minute,Is_AM
0.0,297.65,0.0,0,1,Clear skies,2008-10-02,,2,2,0,0,1
0.0,297.45,0.0,0,1,Clear skies,2008-10-02,,2,2,1,0,1
0.0,296.75,0.0,0,1,Soft rain,2008-10-02,,7,16,2,0,1
0.0,296.42,0.0,0,1,Steady rain,2008-10-02,,7,17,3,0,1
0.0,295.56,0.0,0,40,Soft rain,2008-10-02,,7,16,4,0,1
0.0,295.01,0.0,0,75,Intense rainfall,2008-10-02,,7,8,5,0,1
0.0,295.14,0.0,0,75,Steady rain,2008-10-02,,7,17,6,0,1
0.0,295.15,0.0,0,91,Steady rain,2008-10-02,,7,17,7,0,1
0.0,294.81,0.0,0,91,Intense rainfall,2008-10-02,,7,8,8,0,1
0.0,294.22,0.0,0,91,Intense rainfall,2008-10-02,,7,8,9,0,1
0.0,294.86,0.0,0,91,Intense rainfall,2008-10-02,,7,8,10,0,1
0.0,293.91,0.0,0,90,Intense rainfall,2008-10-02,,7,8,11,0,1
0.0,292.75,0.0,0,90,Intense rainfall,2008-10-02,,7,8,12,0,0
0.0,291.87,0.0,0,90,Intense rainfall,2008-10-02,,7,8,13,0,0
0.0,293.21,0.0,0,90,Steady rain,2008-10-02,,7,17,14,0,0
0.0,294.11,0.0,0,75,Soft rain,2008-10-03,,7,16,15,0,0
0.0,294.08,0.0,0,90,Full cloud cover,2008-10-03,,3,6,16,0,0
0.0,293.63,0.0,0,90,Full cloud cover,2008-10-03,,3,6,17,0,0
0.0,294.38,0.0,0,90,Full cloud cover,2008-10-03,,3,6,18,0,0
0.0,295.12,0.0,0,40,Partly cloudy skies,2008-10-03,,3,12,19,0,0
0.0,295.7,0.0,0,6,Clear skies,2008-10-03,,2,2,20,0,0
0.0,294.42,0.0,0,5,Clear skies,2008-10-03,,2,2,21,0,0
0.0,292.32,0.0,0,5,Clear skies,2008-10-03,,2,2,22,0,0
0.0,291.34,0.0,0,2,Smoky air,2008-10-03,,0,15,23,0,0
0.0,290.92,0.0,0,1,Clear skies,2008-10-03,,2,2,0,0,1
0.0,290.88,0.0,0,1,Clear skies,2008-10-03,,2,2,1,0,1
0.0,291.13,0.0,0,2,Clear skies,2008-10-03,,2,2,2,0,1
0.0,292.12,0.0,0,1,Clear skies,2008-10-03,,2,2,3,0,1
0.0,291.76,0.0,0,1,Clear skies,2008-10-03,,2,2,4,0,1
0.0,292.1,0.0,0,1,Clear skies,2008-10-03,,2,2,5,0,1
0.0,291.95,0.0,0,1,Clear skies,2008-10-03,,2,2,6,0,1
0.0,292.78,0.0,0,6,Clear skies,2008-10-03,,2,2,7,0,1
0.0,295.05,0.0,0,2,Clear skies,2008-10-03,,2,2,8,0,1
0.0,296.11,0.0,0,20,Scattered clouds,2008-10-03,,3,13,9,0,1
0.0,297.17,0.0,0,1,Clear skies,2008-10-03,,2,2,10,0,1
0.0,299.68,0.0,0,1,Clear skies,2008-10-04,,2,2,11,0,1
0.0,300.28,0.0,0,5,Clear skies,2008-10-04,,2,2,12,0,0
0.0,301.58,0.0,0,41,Partly cloudy skies,2008-10-04,,3,12,13,0,0
0.0,301.85,0.0,0,40,Partly cloudy skies,2008-10-04,,3,12,14,0,0
0.0,302.66,0.0,0,1,Clear skies,2008-10-04,,2,2,15,0,0
0.0,303.35,0.0,0,41,Partly cloudy skies,2008-10-04,,3,12,16,0,0
0.0,303.51,0.0,0,41,Partly cloudy skies,2008-10-04,,3,12,17,0,0
0.0,303.22,0.0,0,21,Scattered clouds,2008-10-04,,3,13,18,0,0
0.0,302.79,0.0,0,40,Partly cloudy skies,2008-10-04,,3,12,19,0,0
0.0,301.82,0.0,0,40,Partly cloudy skies,2008-10-04,,3,12,20,0,0
0.0,300.01,0.0,0,41,Partly cloudy skies,2008-10-04,,3,12,21,0,0
0.0,299.03,0.0,0,40,Soft rain,2008-10-04,,7,16,22,0,0
0.0,298.62,0.0,0,40,Partly cloudy skies,2008-10-04,,3,12,23,0,0
0.0,298.15,0.0,0,2,Clear skies,2008-10-04,,2,2,0,0,1
0.0,297.35,0.0,0,1,Clear skies,2008-10-04,,2,2,1,0,1
0.0,296.75,0.0,0,1,Approaching thunderstorm,2008-10-04,,8,1,2,0,1
0.0,296.52,0.0,0,1,Clear skies,2008-10-04,,2,2,3,0,1
0.0,295.62,0.0,0,1,Soft rain,2008-10-04,,7,16,4,0,1
0.0,295.55,0.0,0,2,Soft rain,2008-10-04,,7,16,5,0,1
0.0,294.34,0.0,0,1,Soft rain,2008-10-04,,7,16,6,0,1
0.0,294.72,0.0,0,90,Steady rain,2008-10-04,,7,17,7,0,1
0.0,295.02,0.0,0,1,Soft rain,2008-10-04,,7,16,8,0,1
0.0,293.89,0.0,0,90,Steady rain,2008-10-04,,7,17,9,0,1
